marker_index,user_id,comment_id,category_id,category_en,lon,lat,marker_text,text_len,num_likes,liker_ids
0,5822,24551,3,Missing bike path,-73.73938776713952,45.441260251736594,bande cyclable manquant entre Ave Dorval et Cloverdale. cette axe sert beaucoup d'enfants de l'ecole Gentilly.,110,3,51050;54033;55047
1,5822,24553,1,Appreciated bike path,-73.74974068683531,45.444695869789285,"Beaucoup des enfants utilisent Carson pour se rendent a l'ecole Gentilly (Fenelon), 100x par jour. aucun protection, beaucoup de traffic, intersection trop large",161,2,51050;53724
2,5822,24555,1,Appreciated bike path,-73.76629861735319,45.445053382734926,continue la peinture sur le chaussee pour designer un chemin partage. beaucoup des enfants passent par ici pour aller a l'ecole et au parc.,139,2,51050;53724
3,5822,24559,1,Appreciated bike path,-73.76360496075276,45.44856573691007,"lien manquant entre piste sur Cardinal, (accesible par tunnel pine beach) et bande sur Dawson. frequente par les enfants pour se rendent a l'ecole",146,3,51050;53987;53724
4,5822,24563,2,Bike path needing improvement or adjustment,-73.72196891189103,45.440233005234546,Bike lane too narrow when bollards are installed. there's still plenty of room to widen it between millenium park and lachine without impacting traffic.,152,1,51050
5,5822,24564,1,Appreciated bike path,-73.73385809718454,45.440362059142075,Paint Sharrow marking to indicate Lakeshore is shared with car/bike. part of Route Verte and heavily used by cyclists,117,2,51050;53724
6,5822,24565,1,Appreciated bike path,-73.77455343607966,45.441833017867395,bike lane ends. paint a sharrow on lakeshore. between here and lachine.,71,2,51050;53724
7,5822,24566,1,Appreciated bike path,-73.78137373649994,45.45012508962867,"Sources pedestrian overpass frequently used by cyclists. missing link between cycle track on Cardinal, and donegani. frequently used by children/families.",154,5,51050;54033;54076;53724;54293
8,5822,24568,3,Missing bike path,-73.79755315156899,45.47262498728304,"bike path ends at Delmar. no access to REM, Sources bike path, technopark.",74,2,51050;54033
9,5822,24571,2,Bike path needing improvement or adjustment,-73.74936153936721,45.443345479847466,Sharrow painted on Fenelon is useless. move the designated route to ROY for children to access school. or Remove a car lane from Fenelon. There is not enough traffic on Fenelon to require 2 lanes and they drive fast.,216,2,43693;51050
10,5822,24573,1,Appreciated bike path,-73.75223858155276,45.45140806506015,Getting to the airport by bike is Dorval's best kept secret. avoid all the traffic and expensive taxi.,102,3,43693;51050;53724
11,5822,24574,3,Missing bike path,-73.74278872367944,45.44353926517891,"this part of Carson is used by children to get to school (gentilly fenelon), lots of traffic during rush hour.",110,2,51050;54033
12,5984,20353,2,Bike path needing improvement or adjustment,-73.78580839929302,45.470820909817775,Ch de l'Aviation path is in very poor condition,47,6,19019;51860;52071;52264;51050;54033
13,7336,23947,3,Missing bike path,-73.60539549307909,45.52363406143118,Dangeureux pour tous !,22,5,51050;52480;53692;52950;54359
14,7336,23948,1,Appreciated bike path,-73.58754828839777,45.526107483874114,Le REV a changé positivement comment on peut circuler à vélo en ville!!,71,6,51050;18221;53589;53633;19009;53724
15,9145,29915,3,Missing bike path,-73.53852980100226,45.59752395616127,Ajouter piste cyclable,22,0,
16,9915,28607,2,Bike path needing improvement or adjustment,-73.56745979553537,45.532623498447606,Trous dans l'asphalte rendent la piste dangereuse à plusieurs endroits sur Rachel à l'est du Parc Lafontaine. La piste devrait être unidirectionnelle.,150,2,23051;55084
17,9915,28609,2,Bike path needing improvement or adjustment,-73.56214353421996,45.533706820625866,Intersection très dangereuse pour tous les usagers vulnérables. Piste cyclable sur Fullum à débuter plus haut au nord puisque cette rue longe des parcs et des centres communautaires fréquentés par des enfants depuis la rue Laurier.,231,0,
18,9962,25450,3,Missing bike path,-73.60631212578461,45.522764098439154,Il manque une jonction cyclable entre Outremont et le Mile end,62,3,53584;53633;54183
19,10673,26104,2,Bike path needing improvement or adjustment,-73.80094515306996,45.51057964537699,Merci,5,1,54057
20,10881,19837,3,Missing bike path,-73.6151427650838,45.52802723886768,"L'avenue du Parc est full dangereuse, besoin d'une piste cyclable ASAP",70,18,51103;20248;18221;48140;51309;32141;48137;23150;51398;23025;49517;51499;51691;19019;51050;53488;48500;24330
21,10881,19840,3,Missing bike path,-73.58310151156073,45.54016832372383,"De Lorimier est un passage obligatoire en vélo mais n'est pas sécuritaire du tout, souvent beaucoup d'automobiliste impatients et dangereux qui frôlent les cyclistes avant et après le viaduc",190,19,51099;48301;48385;51280;48415;34752;51644;19171;51715;51771;19019;51050;47368;52482;52533;53731;49215;49983;54989
