category,rank,user_id,markers_created
Appreciated,1,19009,44
Appreciated,2,55207,37
Appreciated,3,50161,30
Appreciated,4,24078,29
Appreciated,5,43376,28
Appreciated,6,49275,23
Appreciated,7,52509,22
Appreciated,8,48033,19
Appreciated,9,51315,19
Appreciated,10,19019,17
Appreciated,11,54293,17
Appreciated,12,43693,16
Appreciated,13,49846,16
Appreciated,14,54346,16
Appreciated,15,18293,15
Appreciated,16,52311,15
Appreciated,17,52370,15
Appreciated,18,48254,14
Appreciated,19,50275,13
Appreciated,20,52401,13
Needs improvement,1,51626,92
Needs improvement,2,48301,50
Needs improvement,3,19019,43
Needs improvement,4,51572,30
Needs improvement,5,48647,26
Needs improvement,6,19647,25
Needs improvement,7,52528,24
Needs improvement,8,19081,21
Needs improvement,9,24078,19
Needs improvement,10,48333,19
Needs improvement,11,49215,19
Needs improvement,12,54087,17
Needs improvement,13,23162,16
Needs improvement,14,47608,16
Needs improvement,15,48137,16
Needs improvement,16,51689,16
Needs improvement,17,43693,15
Needs improvement,18,52384,15
Needs improvement,19,54634,15
Needs improvement,20,43376,14
Missing path,1,51626,341
Missing path,2,54873,170
Missing path,3,52701,122
Missing path,4,49275,116
Missing path,5,50046,97
Missing path,6,19019,81
Missing path,7,19647,60
Missing path,8,43693,50
Missing path,9,50821,39
Missing path,10,48301,37
Missing path,11,19081,34
Missing path,12,54301,33
Missing path,13,52528,31
Missing path,14,51702,28
Missing path,15,48136,22
Missing path,16,43376,18
Missing path,17,52068,18
Missing path,18,53475,18
Missing path,19,54989,18
Missing path,20,55241,18
To be removed,1,51626,1784
To be removed,2,23634,119
To be removed,3,49604,104
To be removed,4,51264,69
To be removed,5,23785,16
To be removed,6,51603,13
To be removed,7,51588,12
To be removed,8,24489,11
To be removed,9,49770,11
To be removed,10,48993,10
To be removed,11,52466,9
To be removed,12,54777,9
To be removed,13,19019,8
To be removed,14,20177,8
To be removed,15,23994,7
To be removed,16,50156,7
To be removed,17,54819,6
To be removed,18,54950,6
To be removed,19,55073,6
To be removed,20,51778,5
